App,Developer,privacyPolicy
Math Games: Math for Kids,RV AppStudios,http://www.rvappstudios.com/privacy_policy_ABC.html
Buddy.ai: English for kids,AI Buddy Inc.,https://buddy.ai/en/privacy
Central Hospital Stories,SUBARA,https://subara.com/conditions.html
Kiddopia,Kiddopia Inc.,https://kiddopia.com/privacy-policy.html
BEYBLADE BURST app,Hasbro Inc.,http://www.hasbro.com/app_esrb_privacy
Sesame Street Alphabet Kitchen,Sesame Workshop,http://www.sesameworkshop.org/privacy-policy/
Dress Up Games,Dress Up Makeover Girls Games,https://dressup.girls.co.com/privacy-policy.html
Masha and the Bear: Salon Game,Hippo Kids Games,https://policy.psvgamestudio.com/privacy_policy_hippo_kids_games.html
Stories World™ Urban City,SUBARA,https://subara.com/conditions.html
Power Girls - Fantastic Heroes,TutoTOONS,https://tutotoons.com/privacy_policy/
Food Number Games for Kids!,Wow Kids,http://eruditoplus.com/privacy-policy/
Miga Town: My TV Shows,XiHe Digital (GuangZhou) Technology Co., Ltd.,https://miga-kids.com/privacypolicy
Baby games for 1 - 5 year olds,BonBonGame.com,http://edugames.vn/privacypolicy.htm
Princess Palace Pets World,Pazu Games,https://www.pazugames.com/privacy-policy/
Miga Town,XiHe Digital (GuangZhou) Technology Co., Ltd.,https://xihegame.com/privacypolicy
LEGO® Star Wars™: TFA,Warner Bros. International Enterprises,https://policies.warnerbros.com/privacy/children/
Kids Doodle - Color & Draw,Doodle Joy Studio,https://doodlejoy.studio/privacy-policy
Crayola Nail Party: Nail Salon,Budge Studios,https://budgestudios.com/legal/privacy-policy/
My City : Love Story,My Town Games Ltd,https://my-town.com/privacy-policy/
Miga Town: My Vacation,XiHe Digital (GuangZhou) Technology Co., Ltd.,https://xihegame.com/privacypolicy/
Panda Games: Town Home,BabyBus,http://en.babybus.com/index/privacyPolicy.shtml
Kids Multiplication Math Games,RV AppStudios,http://www.rvappstudios.com/privacy_policy_ABC.php
My City: Star Horse Stable,My Town Games Ltd,https://my-town.com/privacy-policy/
Yasa Pets Vacation,Yasa Ltd,https://www.yasapets.com/legal/
My City: Apartment Dollhouse,My Town Games Ltd,https://www.my-town.com/privacy-policy/
My City : Pajama Party,My Town Games Ltd,https://www.my-town.com/privacy-policy/
Tizi Town - My School Games,Tizi Town Games,https://www.idzdigital.com/privacypolicy-tizi.php
Boop Kids - My Avatar Creator,Renxo Europe Limited,https://www.boopkids.com/privacy-policy
Synthesia,Synthesia LLC,https://synthesia.app/legal
Baby Panda's Glow Doodle Game,BabyBus,http://en.babybus.com/index/privacyPolicy.shtml
